ID,Category,"Is related to researchers (yes=1, no=0, unknown=2)"
60131201,Clarinets,0
93151501,Public enterprises management or financial services,0
42171501,Emergency medical services disaster body pouches,0
40102000,Boilers,0
85122201,Individual health assessment,0
24101630,Workshop cranes,0
24101613,Blocks or pulleys,0
23171508,Welders,0
23171541,Gas welding or brazing or cutting apparatus,0
30191500,Ladders and scaffolding,0
46191603,Fire hoses or nozzles,0
47121805,Pressure or steam cleaners,0
80141510,Market research telephone surveys,0
60105401,Personal finance or money management education instructional materials,0
44101505,Digital duplicators,0
44102300,Packing machines,0
71161502,Well site heavy equipment or crane services,0
42201700,Medical ultrasound and doppler and echo imaging products,0
71151007,Computer based simulation training program services,0
23153300,Cutting tools,0
46181703,Welding masks,0
81131504,Sampling surveys,0
46181522,Safety hoods,0
55121731,Identification markers,0
39121400,Lugs connectors and terminals,0
25173811,Drive shafts,0
80111500,Human resource development,0
86101711,Fire fighting training services,0
26121616,Telecommunications cable,0
24141704,Printed inserts or instructions,0
78102201,National postal delivery services,0
94101502,Regulatory associations,0
44101716,Hole punching units,0
25151700,Satellites,0
52161514,Headphones,0
25173900,Electrical components,0
31162800,Miscellaneous hardware,0
31181500,Gaskets,0
31161904,Compression springs,0
40142000,Hoses,0
78121500,Packing,0
39112000,Mobile and fixed floodlighting,0
39121419,Flex connectors,0
56121303,Rubber brush floor matting,0
20111612,Drilling rigs,0
14111531,Log books or pads,0
41103310,Gas or vapour concentration measuring instruments,0
53102503,Hats,0
80111621,Temporary research and development services,1
71123001,Management and provision of all facilities engineering modification and maintenance services for a site or platform,0
43222700,Telegraph equipment,0
56111906,Industrial cabinets or drawers or shelving,0
72103003,Demolition services,0
25111502,Fishing boats,0
27112811,Arbors,0
44102907,Equipment dust covers,0
20111611,Rotary drills,0
92121700,Security systems services,0
27112802,Saw blades,0
71151300,Oilfield interpretation services,0
43222609,Network routers,0
44121504,Window envelopes,0
60122504,Paper filters,0
78131801,Refrigerated storage,0
27111700,Wrenches and drivers,0
23171606,Lathes,0
23152203,Engine or component test stands,0
81112105,World wide web WWW site operation host services,0
23171607,Lathe tools or dies,0
56112106,Stool seating,0
26111704,Battery chargers,0
86101704,Procurement or supply chain training,0
14111807,Multipurpose business book,0
42182005,Ophthalmoscopes or otoscopes or scope sets,0
41103011,General purpose refrigerators or refrigerator freezers,0
11162128,Parachute cloth,0
45121611,Lens cover,0
73141705,Cordage or rope or twine manufacturing services,0
46161500,Traffic control,0
31242200,Miscellaneous optical components,0
24101700,Conveyors and accessories,0
25101905,All terrain vehicles tracked or wheeled,0
41111601,Micrometers,0
76121502,Liquid waste collection or processing or disposal,0
83111600,Mobile communications services,0
27112106,Linemans pliers,0
25191513,Ground support vehicle maintenance kit,0
46151504,Body armour,0
27111705,Box end wrenches,0
60123203,Synthetic ribbons,0
44122003,Binders,0
53102501,Belts or suspenders,0
25111507,Barges,0
43191510,Two way radios,0
23101504,Bending machines,0
11162003,Hessian or hemp or jute cloth,0
23151607,Presses,0
25174200,Steering system,0
12181504,Petrolatums,0
53102800,Swimwear,0
20102302,Crane vehicles,0
83111700,Facsimile and telegraph services,0
73171601,Scientific instruments or measuring equipment manufacture services,0
81111900,Information retrieval systems,0
93141900,Rural development,2
23101506,Grinding machines,0
24101619,Bridge cranes,0
73181010,Laser services,0
55121720,Emblems,0
81151500,Meteorology,0
14111810,Personnel forms or personnel books,0
41104500,Laboratory ovens and accessories,0
48101901,Food service dinnerware,0
30102517,Armour sheet,0
48101801,Commercial use cutlery,0
46111502,Mines,0
81121503,Econometrics,2
31181506,O ring gaskets,0
24111808,Fuel storage tanks,0
11140000,Scrap and waste materials,0
25172503,Heavy truck tyres,0
83111802,Closed circuit television services,0
56112100,Seating,0
27121500,Hydraulic presses,0
23231001,Tool holder,0
55121726,Identification panels,0
13102013,Polycarbonate PC,0
92112201,Weapons deployment,0
11101704,Steel,0
41111614,Height gauges,0
24101508,Creepers,0
27112102,Bench vises,0
24111507,Tool bags,0
31163204,Cotter pin,0
47111602,Folding machines,0
25172011,Shock absorber,0
24101602,Hoists,0
81101600,Mechanical engineering,0
