ID,Category,"Is related to researchers (yes=1, no=0, unknown=2)"
41000000,Laboratory and Measuring and Observing and Testing Equipment,0
30200000,Prefabricated structures,0
93170000,Trade policy and regulation,0
77120000,Pollution tracking and monitoring and rehabilitation,0
90000000,Travel and Food and Lodging and Entertainment Services,0
92110000,Military services and national defence,0
46170000,Security surveillance and detection,0
55110000,Electronic reference material,0
50160000,Chocolate and sugars and sweeteners and confectionary products,0
50170000,Seasonings and preservatives,0
84140000,Credit agencies,0
24120000,Packaging materials,0
76120000,Refuse disposal and treatment,0
26130000,Power generation,0
73170000,Manufacture of electrical goods and precision instruments,0
30170000,Doors and windows and glass,0
46190000,Fire protection,0
40100000,Heating and ventilation and air circulation,0
27112819,Skiving tool cutter blades,0
90120000,Travel facilitation,0
91110000,Domestic and personal assistance,0
81101508,Architectural engineering,0
32100000,Printed circuits and integrated circuits and microassemblies,0
70110000,Horticulture,0
82140000,Graphic design,0
26000000,Power Generation and Distribution Machinery and Accessories,0
50200000,Beverages,0
24110000,Containers and storage,0
12130000,Explosive materials,0
39120000,Electrical equipment and components and supplies,0
81150000,Earth science services,2
12140000,Elements and gases,0
92100000,Public order and safety,0
84120000,Banking and investment,0
25170000,Transportation components and systems,0
73150000,Manufacturing support services,0
56000000,Furniture and Furnishings,0
81120000,Economics,2
53120000,Luggage and handbags and packs and cases,0
45100000,Printing and publishing equipment,0
81140000,Manufacturing technologies,0
78130000,Storage,0
93150000,Public administration and finance services,0
42180000,Patient exam and monitoring products,0
22000000,Building and Construction Machinery and Accessories,0
43220000,Data Voice or Multimedia Network Equipment or Platforms and Accessories,0
86120000,Educational institutions,2
83100000,Utilities,0
45000000,Printing and Photographic and Audio and Visual Equipment and Supplies,0
56100000,Accommodation furniture,0
43210000,Computer Equipment and Accessories,0
23150000,Industrial process machinery and equipment and supplies,0
25190000,Transportation services equipment,0
30160000,Interior finishing materials,0
85121900,Pharmacists,0
70100000,Fisheries and aquaculture,0
80131500,Lease and rental of property or building,0
49170000,Gymnastics and boxing equipment,0
32130000,Electronic hardware and component parts and accessories,0
85120000,Medical practice,0
93000000,Politics and Civic Affairs Services,2
90150000,Entertainment services,0
22100000,Heavy construction machinery and equipment,0
42150000,Dental equipment and supplies,0
56110000,Commercial and industrial furniture,0
15100000,Fuels,0
60100000,Developmental and professional teaching aids and materials and accessories and supplies,0
52160000,Consumer electronics,0
46110000,Conventional war weapons,0
21100000,Agricultural and forestry and landscape machinery and equipment,0
10160000,Floriculture and silviculture products,0
42240000,Orthopaedic and prosthetic and sports medicine products,0
43190000,Communications Devices and Accessories,0
14100000,Paper materials,0
91000000,Personal and Domestic Services,0
42290000,Surgical products,0
26100000,Power sources,0
81111700,Management information systems MIS,0
46160000,Public safety and control,0
39100000,Lamps and lightbulbs and lamp components,0
83101803,Supply of three phase electricity,0
76000000,Industrial Cleaning Services,0
30100000,Structural materials and basic shapes,0
23160000,Foundrymachines and equipment and supplies,0
71100000,Mining services,0
30180000,Plumbing fixtures,0
49220000,Sports equipment and accessories,0
84100000,Development finance,0
78180000,Transportation repair or maintenance services,0
76100000,Decontamination services,0
13100000,Rubber and elastomers,0
24130000,Industrial refrigeration,0
11000000,Mineral and Textile and Inedible Plant and Animal Materials,0
41115201,Radarbased surveillance systems,0
52140000,Domestic appliances,0
45120000,Photographic or filming or video equipment,0
42140000,Patient care and treatment products and supplies,0
71120000,Well drilling and construction services,0
85150000,Food and nutrition services,0
49000000,Sports and Recreational Equipment and Supplies and Accessories,0
82121500,Printing,0
54100000,Jewellery,0
70140000,Crop production and management and protection,1
25111700,Military watercraft,0
49120000,Camping and outdoor equipment and accessories,0
73000000,Industrial Production and Manufacturing Services,0
53130000,Personal care products,0
47110000,Industrial laundry and dry cleaning equipment,0
43231506,Materials requirements planning logistics and supply chain software,0
70130000,Land and soil preparation and management and protection,0
76130000,Toxic and hazardous waste cleanup,0
81130000,Statistics,2
93141506,Social welfare services,0
73140000,Fibres and textiles and fabric industries,0
31260000,Housings and cabinets and casings,0
23000000,Industrial Manufacturing and Processing Machinery and Accessories,0
60130000,Musical Instruments and parts and accessories,0
80150000,Trade policy and services,2
47000000,Cleaning Equipment and Supplies,0
27110000,Hand tools,0
85140000,Alternative and holistic medicine,2
23100000,Raw materials processing machinery,0
40150000,Industrial pumps and compressors,0
25180000,Vehicle bodies and trailers,0
26110000,Batteries and generators and kinetic power transmission,0
49210000,Other sports,0
52120000,Bedclothes and table and kitchen linen and towels,0
72102200,Electrical services,0
15120000,Lubricants and oils and greases and anti corrosives,0
20000000,Mining and Well Drilling Machinery and Accessories,0
30220000,Permanent structures,0
11150000,Fibres and threads and yarns,0
20100000,Mining and quarrying machinery and equipment,0
82130000,Photographic services,0
55120000,Signage and accessories,0
49180000,Target and table games and equipment,0
10190000,Pest control products,0
27120000,Hydraulic machinery and equipment,0
46100000,Light weapons and ammunition,0
40140000,Fluid and gas distribution,0
80101507,Information technology consultation services,0
60120000,Arts and crafts equipment and accessories and supplies,0
40160000,Industrial filtering and purification,0
26120000,Electrical wire and cable and harness,0
47120000,Janitorial equipment,0
93100000,Political systems and institutions,2
23230000,Sawmilling and lumber processing machinery and equipment,0
94000000,Organisations and Clubs,0
70000000,Farming and Fishing and Forestry and Wildlife Contracting Services,0
31120000,Machined castings,0
55101500,Printed publications,0
73180000,Machining and processing services,0
42300000,Medical training and education supplies,0
77130000,Pollutants tracking and monitoring and rehabilitation services,2
71150000,Oil and gas data management and processing services,0
11120000,Non edible plant and forestry products,0
80111600,Temporary personnel services,0
23200000,Mass transfer equipment,0
20120000,Oil and gas drilling and exploration equipment,0
20140000,Oil and gas operating and production equipment,0
60140000,Toys and games,0
27130000,Pneumatic machinery and equipment,0
30130000,Structural building products,0
90140000,Commercial sports,0
31210000,Paints and primers and finishes,0
40000000,Distribution and Conditioning Systems and Equipment and Components,0
27140000,Automotive specialty tools,0
25120000,Railway and tramway machinery and equipment,0
31170000,Bearings and bushings and wheels and gears,0
80101600,Project management,0
73100000,Plastic and chemical industries,0
46130000,Rockets and subsystems,0
40101604,Fans,0
56101700,Office furniture,0
39101602,Medical lamps,0
40151510,Water pumps,0
25111904,Paddles,0
49121503,Tents,0
90141503,Exhibitions,0
93120000,International relations,2
49211801,Parachute equipment,0
31162108,Tie down anchors,0
53102700,Uniforms,0
11162110,Netting,0
46182306,Safety harnesses or belts,0
24131501,Combined refrigerator freezers,0
92121504,Security guard services,0
76111500,General building and office cleaning and maintenance services,0
81111503,Systems integration design,0
90111501,Hotels,0
30222300,Educational and research structures,2
31163000,Couplings,0
42241500,Casting and splinting supplies,0
84111603,Internal audits,0
41112500,Liquid and gas flow measuring and observing instruments,0
46171606,Sirens,0
40141600,Valves,0
60105301,Career education or planning or decision making skills instructional materials,0
93141802,Recruitment services,0
55121700,Signage,0
93141808,Occupational health or safety services,0
11162125,Webbing fabrics,0
42192300,Patient lifts,0
90121503,Chartering services,0
24102000,Shelving and storage,0
43211507,Desktop computers,0
53102402,Socks,0
42270000,Respiratory and anaesthesia and resuscitation products,0
60104400,Geology and earth science,1
81111812,Computer hardware maintenance or support,0
78101804,Relocation services,0
27113200,Tool kits,0
93160000,Taxation,0
25191704,Engine or vehicle stands,0
43211500,Computers,0
81112005,Document scanning service,0
78102203,Mailing or mail pick up or delivery services,0
78102200,Postal and small parcel and courier services,0
93142100,Regional development,2
60104602,Gravity models or model sets,0
81112103,World wide web WWW site design services,0
81151901,Geophysical surveys,0
71161308,Well site logistics or procurement services,0
82121507,Stationery or business form printing,0
26121600,Electrical cable and accessories,0
27131501,Pneumatic impact wrenches,0
43221525,Intercom systems,0
27111715,Torque wrenches,0
73151904,Offset industrial printing services,0
43223203,Multimedia service centre,0
82111800,Editorial and support services,0
44102304,Sealing machines,0
41111622,Micrometer callipers,0
23171500,Soldering and brazing and welding machinery and supplies,0
46171613,Gas detectors,0
23101502,Drilling machines,0
53102100,Overalls and coveralls,0
90101603,Catering services,0
41116101,Blood bank test kits or supplies,0
24111810,Water storage tanks,0
86131701,Vehicle driving schools services,0
82121506,Publication printing,0
80141500,Market research,0
78141501,Freight forwarders services,0
93121704,Secretariat services,0
76111501,Building cleaning services,0
39121435,Connecting leads or wires,0
52121505,Pillows,0
42172009,Emergency medical services search and rescue kits,0
80141607,Events management,0
26111700,Batteries and cells and accessories,0
46161507,Barrier tapes or chains,0
30181503,Showers,0
60131102,Trombones,0
30222500,Accommodation structures,0
23151901,Cutters,0
31241700,Mirrors,0
11101510,Asbestos,0
85131700,Medical science and research,1
85122200,Individual health screening and assessment services,0
53102303,Underpants,0
39121601,Circuit breakers,0
27111711,Ratchets,0
46181706,Helmet parts or accessories,0
26111711,Lithium batteries,0
71151106,Data storage and backup,0
52161505,Televisions,0
77101501,Risk or hazard assessment,0
86101714,Law enforcement vocational training services,0
80101504,Strategic planning consultation services,2
44111900,Boards,0
46181804,Goggles,0
55121607,Decals,0
40151600,Compressors,0
84141602,Credit card service providers,0
53102520,Shoulder boards or epaulettes,0
81112007,Content or data standardisation services,0
56101500,Furniture,0
26121606,Coaxial cable,0
41111509,Floor or platform scales,0
30140000,Insulation,0
60105409,Brand marketing or advertising instructional materials,0
80101706,Professional procurement services,0
30152000,Fencing,0
39121100,Distribution and control centres and accessories,0
60131001,Pianos,0
78121601,Freight loading or unloading,0
93141800,Employment,0
25191509,Aircraft pushback or tow tractors,0
24131502,Liquid nitrogen refrigerators,0
60101200,Educational incentives,0
22101526,Track excavators,0
46151600,Security and control equipment,0
27111504,Pocket knives,0
23210000,Electronic manufacturing machinery and equipment and accessories,0
40151563,Fire pump sets,0
31151900,Straps,0
49151501,Ski boots,0
84131609,Employee assistance programs,0
42181800,Pulse oximeters,0
46181507,Safety vests,0
43232300,Data management and query software,0
53102500,Clothing accessories,0
41115800,Clinical and diagnostic analysers and accessories and supplies,0
60105419,Developing social skills instructional materials,0
24101600,Lifting equipment and accessories,0
39121523,Timer controls,0
46181704,Safety helmets,0
21111500,Commercial fishing equipment,0
93151607,Government auditing services,0
85111602,Cancer or leukaemia prevention or control services,2
20142700,Pumping units,0
83101802,Supply of two phase electricity,0
82121502,Typesetting,0
11162127,Camouflage cloth,0
30222309,Research or testing facilities,1
76121501,Garbage collection or destruction or processing or disposal,0
78180100,Vehicle maintenance and repair services,0
30222047,Access road,0
78111501,Helicopter services,0
72102800,Refurbishing services,0
42171917,Emergency medical services first aid kit cases or bags or accessories,0
70111703,Garden planting or maintenance services,0
41105314,Gel documentation systems,0
20121909,Surveying systems,0
78131804,Document storage services,0
70101700,Fishery industry and technology,0
30191501,Ladders,0
23171600,Machine tools,0
31162801,Handles or knobs,0
84111600,Audit services,0
80131600,Sale of property and building,0
80141701,Direct sales services,0
40142002,Air hoses,0
25191505,Aircraft cargo handling equipment,0
24101612,Jacks,0
93161802,Taxation policy,0
84111505,Payroll accounting services,0
45121700,Photographic processing equipment,0
91111500,Laundering services,0
56101542,Folding chairs,0
40142201,Gas regulators,0
72101801,Sandblasting,0
32121603,Variable resistors or varistors,0
40141607,Ball valves,0
84121800,Securities and commodities markets services,0
80111604,Temporary technician staffing needs,0
43233200,Security and protection software,0
80141700,Distribution,0
49211805,Lanyards,0
73151900,Industrial printing services,0
43231511,Expert system software,0
80161508,Document destruction services,0
81101513,Building construction management,0
80101604,Project administration or planning,0
80101500,Business and corporate management consultation services,0
81111803,Local area network LAN maintenance or support,0
43211502,High end computer servers,0
81141800,Facilities management,0
41111621,Callipers,0
24111500,Bags,0
90111500,Hotels and motels and inns,0
43221706,Radio antennas,0
40161513,Fuel filters,0
49141507,Drysuits,0
43232609,Library software,0
55121715,Flags or accessories,0
85122100,Rehabilitation services,0
30222307,Laboratory building,0
24101604,Lifts,0
22102000,Building demolition machinery and equipment,0
70171602,Water testing services,0
43211501,Computer servers,0
26111710,Product specific battery packs,0
92121604,Private investigation services,0
85131701,Pharmaceutical research services,1
46181508,Fire retardant apparel,0
14111500,Printing and writing paper,0
56101715,Mail sorters or organisers,0
31330000,Fabricated structural assemblies,0
84111500,Accounting services,0
73161517,Air conditioning or ventilating or refrigeration equipment manufacture services,0
46191505,Fire alarm systems,0
30151800,Siding and exterior wall materials,0
46101800,Arms and ammunition accessories,0
32101514,Amplifiers,0
43221700,Fixed network equipment and components,0
80161601,Property management services,0
49121504,Sleeping bags,0
25172100,Vehicle safety and security systems and components,0
40151607,Refrigerant compressors,0
80141507,Consumer based research or clinics or focus groups,2
83121703,Internet related services,0
72102305,Air conditioning installation or maintenance or repair services,0
53111500,Boots,0
81111507,ERP or database applications programming services,0
