id,topics
GrantsGO207,"[(0, 0.0469422), (4, 0.07812209), (7, 0.5699185), (11, 0.0683004), (14, 0.09887012), (19, 0.10929703)]"
GrantsGO208,"[(0, 0.051149502), (4, 0.090863846), (7, 0.5154512), (11, 0.08604243), (14, 0.11252266), (19, 0.11306077)]"
GrantsGO118,"[(4, 0.33569175), (8, 0.1477704), (13, 0.15871376), (16, 0.044239197), (19, 0.28583255)]"
GrantsGO368,"[(4, 0.0828538), (9, 0.17857762), (11, 0.13406663), (13, 0.1580369), (16, 0.052788988), (19, 0.28703436), (20, 0.08279492)]"
GrantsGO270,"[(4, 0.08975073), (13, 0.12630163), (16, 0.031670164), (19, 0.17430902), (21, 0.5544062)]"
GrantsGO280,"[(4, 0.21724781), (8, 0.092815936), (10, 0.24927643), (13, 0.33092356), (16, 0.070947945)]"
GrantsGO361,"[(0, 0.154642), (4, 0.085312776), (7, 0.20273483), (11, 0.069423944), (13, 0.26063964), (14, 0.15196228), (16, 0.048594173)]"
GrantsGO362,"[(4, 0.08097765), (7, 0.33521605), (11, 0.20732781), (13, 0.059446946), (14, 0.125334), (19, 0.16535835)]"
GrantsGO363,"[(4, 0.076855764), (7, 0.46478057), (11, 0.05766673), (14, 0.0516061), (19, 0.3197491)]"
GrantsGO364,"[(4, 0.076857276), (7, 0.4647151), (11, 0.05766368), (14, 0.051559005), (19, 0.31986287)]"
GrantsGO365,"[(0, 0.05122326), (4, 0.090917304), (7, 0.5154443), (11, 0.0864138), (14, 0.113057755), (19, 0.112036206)]"
GrantsGO366,"[(0, 0.047110613), (4, 0.07811971), (7, 0.57002974), (11, 0.06819948), (14, 0.09915623), (19, 0.108834505)]"
GrantsGO271,"[(4, 0.06602574), (6, 0.38623095), (13, 0.07713097), (16, 0.21791825), (19, 0.22568837)]"
GrantsGO279,"[(2, 0.0447592), (3, 0.38615608), (4, 0.11197027), (13, 0.116234235), (19, 0.30340493)]"
GrantsGO282,"[(3, 0.24803863), (4, 0.0965985), (6, 0.06612314), (13, 0.10275615), (14, 0.19034366), (19, 0.2652831)]"
GrantsGO372,"[(4, 0.15044206), (5, 0.22748674), (11, 0.31705788), (12, 0.09077358), (13, 0.14481045), (16, 0.042281624)]"
GrantsGO335,"[(4, 0.096120514), (7, 0.17747478), (10, 0.32750136), (13, 0.114347026), (16, 0.037870657), (19, 0.21478671)]"
GrantsGO116,"[(0, 0.11232628), (4, 0.19863231), (6, 0.16809699), (7, 0.19772264), (13, 0.09265842), (16, 0.050845906), (19, 0.15519823)]"
GrantsGO432,"[(4, 0.060874738), (5, 0.13310836), (13, 0.30032814), (14, 0.111627966), (16, 0.08682101), (19, 0.28791884)]"
GrantsGO143,"[(4, 0.11678957), (5, 0.38722494), (6, 0.05446538), (11, 0.05292287), (16, 0.038471453), (20, 0.326925)]"
GrantsGO438,"[(4, 0.07945616), (5, 0.29877746), (10, 0.17118433), (13, 0.13912058), (16, 0.03712406), (19, 0.2480995)]"
GrantsGO404,"[(0, 0.18582267), (3, 0.18492655), (4, 0.083670944), (7, 0.044175442), (10, 0.17356539), (13, 0.089071915), (14, 0.03522523), (19, 0.1774917)]"
GrantsGO417,"[(4, 0.131905), (6, 0.25277776), (11, 0.033941753), (13, 0.08080485), (16, 0.24117671), (19, 0.23467131)]"
GrantsGO440,"[(4, 0.10262247), (6, 0.11511079), (11, 0.26421392), (13, 0.07311446), (16, 0.039153874), (18, 0.21872713), (19, 0.16658589)]"
GrantsGO477,"[(4, 0.5323503), (13, 0.08942762), (14, 0.047009353), (16, 0.0450081), (19, 0.25493047)]"
GrantsGO423,"[(4, 0.07828849), (10, 0.51784396), (13, 0.09313447), (16, 0.041675903), (19, 0.23786178)]"
GrantsGO461,"[(4, 0.067011565), (5, 0.30703118), (10, 0.16722845), (11, 0.07507938), (13, 0.107745595), (16, 0.044905826), (19, 0.21183726)]"
GrantsGO460,"[(4, 0.12544233), (6, 0.15811773), (13, 0.066307314), (16, 0.05753195), (19, 0.20926027), (20, 0.13935827), (21, 0.22251101)]"
GrantsGO520,"[(2, 0.21806532), (3, 0.0454279), (4, 0.09361889), (13, 0.10658636), (14, 0.12119198), (16, 0.040717423), (19, 0.23484868), (20, 0.11575054)]"
GrantsGO486,"[(4, 0.06571), (6, 0.16366784), (13, 0.08937631), (14, 0.1586596), (16, 0.034288485), (19, 0.46537596)]"
GrantsGO589,"[(4, 0.32695004), (7, 0.0738399), (11, 0.039191514), (15, 0.2253132), (16, 0.0430715), (17, 0.26183516)]"
GrantsGO591,"[(4, 0.4927278), (15, 0.15864588), (16, 0.042337205), (18, 0.17117271), (19, 0.10643101)]"
GrantsGO105,"[(4, 0.26343775), (8, 0.2981601), (13, 0.09479619), (14, 0.028229913), (16, 0.045446236), (19, 0.2401515)]"
GrantsGO379,"[(0, 0.22313337), (4, 0.094690174), (11, 0.053193375), (13, 0.116528615), (16, 0.05461597), (19, 0.42557386)]"
GrantsGO331,"[(4, 0.090118036), (8, 0.50383025), (13, 0.078998715), (16, 0.043678828), (19, 0.25656247)]"
GrantsGO594,"[(4, 0.2537322), (11, 0.054546725), (15, 0.45813543), (16, 0.04784633), (19, 0.15139583)]"
GrantsGO387,"[(0, 0.12544833), (4, 0.0849264), (7, 0.26660016), (11, 0.051562555), (13, 0.25712255), (14, 0.15217291), (16, 0.03428258)]"
GrantsGO389,"[(0, 0.10229026), (4, 0.08486243), (7, 0.21620856), (11, 0.07078996), (13, 0.28054154), (14, 0.119011745), (16, 0.03386181), (19, 0.068432935)]"
GrantsGO390,"[(0, 0.100322485), (4, 0.077891365), (7, 0.1404146), (11, 0.07422796), (13, 0.4087051), (14, 0.13723736), (16, 0.03643607)]"
GrantsGO517,"[(4, 0.07339509), (10, 0.24771927), (13, 0.089115806), (14, 0.18498145), (16, 0.044521213), (19, 0.33198413)]"
GrantsGO521,"[(3, 0.28354657), (4, 0.0910088), (10, 0.24751656), (13, 0.12878372), (17, 0.04535498), (19, 0.1807029)]"
GrantsGO347,"[(4, 0.123592876), (8, 0.20796353), (13, 0.14183405), (15, 0.20907924), (16, 0.044071846), (19, 0.24985)]"
GrantsGO493,"[(1, 0.44295707), (4, 0.06729867), (6, 0.05404863), (7, 0.041823223), (10, 0.10028814), (13, 0.072393075), (16, 0.03138612), (19, 0.1713432)]"
GrantsGO474,"[(4, 0.0979458), (10, 0.317256), (11, 0.13651212), (13, 0.13997868), (14, 0.027674353), (16, 0.042809486), (19, 0.2128849)]"
GrantsGO552,"[(3, 0.18857023), (4, 0.08531874), (6, 0.27800176), (13, 0.079699926), (19, 0.3415252)]"
GrantsGO507,"[(0, 0.080227345), (4, 0.08684647), (10, 0.44218606), (13, 0.11889024), (16, 0.038555626), (19, 0.2089003)]"
GrantsGO641,"[(0, 0.22164166), (4, 0.44684988), (11, 0.14836152), (13, 0.07162251), (14, 0.03946186), (16, 0.044725318)]"
GrantsGO418,"[(4, 0.06841865), (5, 0.5532933), (13, 0.11558247), (16, 0.06269715), (19, 0.17713134)]"
GrantsGO501,"[(4, 0.14303015), (11, 0.058820277), (13, 0.21030866), (14, 0.18992846), (16, 0.11598465), (19, 0.25816667)]"
GrantsGO504,"[(4, 0.09066672), (9, 0.13210799), (11, 0.08414366), (13, 0.14178148), (14, 0.11076314), (16, 0.16565794), (19, 0.17753181), (21, 0.077779405)]"
GrantsGO457,"[(3, 0.054286063), (4, 0.1213156), (9, 0.18334694), (11, 0.05783087), (13, 0.11887265), (14, 0.11269826), (16, 0.13505507), (19, 0.19429804)]"
GrantsGO498,"[(4, 0.21076827), (6, 0.24610958), (11, 0.11378807), (13, 0.09794659), (16, 0.051068544), (19, 0.25312093)]"
GrantsGO546,"[(3, 0.44438422), (4, 0.07178527), (11, 0.11271349), (13, 0.071170576), (14, 0.11389822), (19, 0.16561651)]"
GrantsGO572,"[(4, 0.065028355), (6, 0.15121417), (11, 0.046619575), (13, 0.17724773), (16, 0.040216282), (19, 0.31296995), (21, 0.18493724)]"
GrantsGO640,"[(4, 0.09024091), (6, 0.09809371), (13, 0.076665655), (16, 0.03921304), (17, 0.46456897), (19, 0.20824051)]"
GrantsGO102,"[(4, 0.1583064), (6, 0.10879804), (13, 0.07792234), (16, 0.044807844), (19, 0.17713314), (21, 0.41145012)]"
GrantsGO496,"[(4, 0.15311715), (13, 0.09890505), (16, 0.41284725), (19, 0.3008978)]"
GrantsGO49,"[(4, 0.06523638), (6, 0.08942026), (13, 0.07661995), (15, 0.43788102), (16, 0.048724845), (19, 0.25975138)]"
GrantsGO484,"[(0, 0.101773776), (4, 0.085571475), (7, 0.189123), (11, 0.073747806), (13, 0.30109796), (14, 0.12021626), (16, 0.035827752), (19, 0.06865562)]"
GrantsGO112,"[(4, 0.103133276), (7, 0.16876897), (8, 0.060344215), (13, 0.08398132), (16, 0.0467048), (19, 0.5089173)]"
GrantsGO798,"[(4, 0.14869405), (13, 0.096610546), (14, 0.026715262), (16, 0.402626), (19, 0.29376498)]"
GrantsGO315,"[(4, 0.07903075), (7, 0.09676048), (9, 0.09578786), (10, 0.19332162), (14, 0.041739665), (16, 0.07969789), (17, 0.28563184), (19, 0.10487419)]"
GrantsGO726,"[(4, 0.12897328), (15, 0.24771057), (16, 0.21028213), (18, 0.26716527), (19, 0.115990475)]"
