_id,weight,orig_id,
6162aa1fe1b7f5c73e6fe784,-0.4657855,6162aa1fe1b7f5c73e6fe6ed,4
6162aa1fe1b7f5c73e6fdffb,-0.45175022,6162aa1fe1b7f5c73e6fe6ed,-1
6162aa1fe1b7f5c73e6fe5c8,-0.44643568,6162aa1fe1b7f5c73e6fe6ed,-1
6162aa1fe1b7f5c73e6fe02e,-0.38067228,6162aa1fe1b7f5c73e6fe6ed,-1
6162aa1fe1b7f5c73e6fe2a8,-0.33280439,6162aa1fe1b7f5c73e6fe6ed,3
6162aa1fe1b7f5c73e6fe6e8,-0.26864044,6162aa1fe1b7f5c73e6fe6ed,-1
6234033c28a0c11b54da337f,0.00193168,6162aa1fe1b7f5c73e6fe6ed,-1
6162aa1fe1b7f5c73e6fe3ae,0.011679497,6162aa1fe1b7f5c73e6fe6ed,-1
6162aa1fe1b7f5c73e6fe7e2,0.01461091,6162aa1fe1b7f5c73e6fe6ed,-1
6162aa1fe1b7f5c73e6fea40,0.02487149,6162aa1fe1b7f5c73e6fe6ed,-1
6162aa1fe1b7f5c73e6fe693,-0.954125143,6162aa1fe1b7f5c73e6fe9d5,-1
6162aa1fe1b7f5c73e6fe8db,-0.654123009,6162aa1fe1b7f5c73e6fe9d5,-1
6162aa1fe1b7f5c73e6fe84b,-0.632710477,6162aa1fe1b7f5c73e6fe9d5,-1
6162aa1fe1b7f5c73e6fe744,-0.565682851,6162aa1fe1b7f5c73e6fe9d5,-1
6162aa1fe1b7f5c73e6fe27d,-0.562540057,6162aa1fe1b7f5c73e6fe9d5,-1
6162aa1fe1b7f5c73e6fe7ed,-0.560944427,6162aa1fe1b7f5c73e6fe9d5,-1
6162aa1fe1b7f5c73e6fe883,-0.554090797,6162aa1fe1b7f5c73e6fe9d5,-1
6162aa1fe1b7f5c73e6fe766,-0.535176177,6162aa1fe1b7f5c73e6fe9d5,-1
6162aa1fe1b7f5c73e6fe636,-0.527249137,6162aa1fe1b7f5c73e6fe9d5,4
6162aa1fe1b7f5c73e6fe2a8,-0.520300427,6162aa1fe1b7f5c73e6fe9d5,-1
6234102f28a0c11b54da385e,-0.98434806,6234080528a0c11b54da3561,5
62340bfe28a0c11b54da36d9,-0.919888918,6234080528a0c11b54da3561,5
62340e1228a0c11b54da3798,-0.894177491,6234080528a0c11b54da3561,5
6234035328a0c11b54da3389,-0.780225741,6234080528a0c11b54da3561,5
62340fc728a0c11b54da3839,-0.452217068,6234080528a0c11b54da3561,5
62340d8628a0c11b54da3768,-0.367160604,6234080528a0c11b54da3561,5
62340a8128a0c11b54da3650,-0.281692073,6234080528a0c11b54da3561,4
623410ca28a0c11b54da388e,-0.256261897,6234080528a0c11b54da3561,4
623403c228a0c11b54da33b7,-0.241354053,6234080528a0c11b54da3561,4
6234085a28a0c11b54da357d,-0.237964978,6234080528a0c11b54da3561,-1
62340f1b28a0c11b54da37fa,-0.93409431,6162aa1fe1b7f5c73e6fe9d7,-1
6234101628a0c11b54da3855,-0.926285,6162aa1fe1b7f5c73e6fe9d7,-1
6162aa1fe1b7f5c73e6fe255,-0.898596,6162aa1fe1b7f5c73e6fe9d7,-1
6234067328a0c11b54da34c5,-0.849729515,6162aa1fe1b7f5c73e6fe9d7,5
6234087f28a0c11b54da358d,-0.83692211,6162aa1fe1b7f5c73e6fe9d7,-1
62340bfb28a0c11b54da36d8,-0.749617024,6162aa1fe1b7f5c73e6fe9d7,-1
6162aa1fe1b7f5c73e6fe812,0.00098553,6162aa1fe1b7f5c73e6fe9d7,-1
6162aa1fe1b7f5c73e6fe2dd,0.001583781,6162aa1fe1b7f5c73e6fe9d7,-1
623403fb28a0c11b54da33ce,0.00209038,6162aa1fe1b7f5c73e6fe9d7,-1
6162aa1fe1b7f5c73e6fe419,0.004887135,6162aa1fe1b7f5c73e6fe9d7,-1
6234063628a0c11b54da34ad,-0.949495295,6234058128a0c11b54da3466,5
623408e528a0c11b54da35b2,-0.844182173,6234058128a0c11b54da3466,5
62340a5a28a0c11b54da3641,-0.817259963,6234058128a0c11b54da3466,5
6234063b28a0c11b54da34af,-0.803811385,6234058128a0c11b54da3466,5
623406ca28a0c11b54da34e8,-0.803536079,6234058128a0c11b54da3466,4
62340f6428a0c11b54da3814,-0.7893865,6234058128a0c11b54da3466,5
